akció;action;akc
alternatív tartalom;alternative;alt
animáció;animation;ani
bábfilm;puppy;báb
bûnügyi;criminal;bûn
családi;family;csa
dokumentumfilm;documentary;dok
dráma;drama;drá
egyéb;other;egy
életrajzi;biographical;éle
erotikus;erotic;ero
fantasy;fantasy;fan
háborús;wartime;háb
horror;horror;hor
ifjúsági;youth;ifj
játékfilm;feature film;játékf
kaland;adventure;kal
katasztrófa;disaster;kat
kísérleti film;pilot film;kís
koncert;concert;kon
krimi;crime fiction;kri
mese;tale story;mes
misztikus;mystic;mis
Nem fikciós mûvek;Non-fiction works;Nem
operafilm;operafilm;ope
romantikus;romantic;rom
rövidfilm;short film;röv
sci-fi;sci-fi;sci
szatíra;satire;sza
szkeccs;anthology;szk
társadalmi;social;tár
természetfilm;nature film;ter
tévéfilm;television;tév
thriller;thriller;thr
történelmi;historical;tör
tragikomédia;tragicomedy;tra
vígjáték;comedy;víg
western;western;wes
zene;music;zen
